row_id,date,commodity,mandi,price
M001,2024-01-15,Wheat,Roorkee,2150
M002,2024-01-15,Rice,Roorkee,3200
M003,2024-01-15,Sugarcane,Roorkee,350
M004,2024-01-15,Wheat,Dehradun,2180
M005,2024-01-15,Rice,Dehradun,3250
M006,2024-01-15,Potato,Dehradun,1200
M007,2024-01-15,Wheat,Haridwar,2120
M008,2024-01-15,Rice,Haridwar,3180
M009,2024-01-15,Mustard,Haridwar,4500
M010,2024-01-16,Wheat,Roorkee,2170
M011,2024-01-16,Rice,Roorkee,3220
M012,2024-01-16,Sugarcane,Roorkee,355
M013,2024-01-16,Wheat,Muzaffarnagar,2140
M014,2024-01-16,Rice,Muzaffarnagar,3190
M015,2024-01-16,Onion,Muzaffarnagar,2800
M016,2024-01-16,Wheat,Saharanpur,2160
M017,2024-01-16,Rice,Saharanpur,3210
M018,2024-01-16,Basmati,Saharanpur,5200
